[2025-08-24 19:11:33] [cti_watch_ip] container=ground-control-station if=eth0 every 1s
[2025-08-24 19:11:35] [cti_watch_ip] IP change: 10.13.0.4 -> 10.13.0.186
[2025-08-24 19:11:45] [cti_watch_ip] IP change: 10.13.0.186 -> 10.13.0.82
[2025-08-24 19:11:55] [cti_watch_ip] IP change: 10.13.0.82 -> 10.13.0.131
[2025-08-24 19:12:29] [cti_watch_ip] IP change: 10.13.0.131 -> 10.13.0.108
[2025-08-24 19:12:48] [cti_watch_ip] IP change: 10.13.0.108 -> 10.13.0.151
[2025-08-24 19:12:58] [cti_watch_ip] IP change: 10.13.0.151 -> 10.13.0.82
[2025-08-24 19:13:15] [cti_watch_ip] IP change: 10.13.0.82 -> 10.13.0.161
[2025-08-24 19:13:26] [cti_watch_ip] IP change: 10.13.0.161 -> 10.13.0.193
[2025-08-24 19:13:36] [cti_watch_ip] IP change: 10.13.0.193 -> 10.13.0.148
[2025-08-24 19:13:46] [cti_watch_ip] IP change: 10.13.0.148 -> 10.13.0.118
[2025-08-24 19:13:57] [cti_watch_ip] IP change: 10.13.0.118 -> 10.13.0.52
[2025-08-24 19:14:14] [cti_watch_ip] IP change: 10.13.0.52 -> 10.13.0.181
[2025-08-24 19:14:25] [cti_watch_ip] IP change: 10.13.0.181 -> 10.13.0.121
[2025-08-24 19:14:44] [cti_watch_ip] IP change: 10.13.0.121 -> 10.13.0.137
[2025-08-24 19:14:54] [cti_watch_ip] IP change: 10.13.0.137 -> 10.13.0.141
[2025-08-24 19:15:04] [cti_watch_ip] IP change: 10.13.0.141 -> 10.13.0.156
[2025-08-24 19:15:15] [cti_watch_ip] IP change: 10.13.0.156 -> 10.13.0.182
[2025-08-24 19:15:33] [cti_watch_ip] IP change: 10.13.0.182 -> 10.13.0.165
[2025-08-24 19:15:50] [cti_watch_ip] IP change: 10.13.0.165 -> 10.13.0.145
[2025-08-24 19:16:08] [cti_watch_ip] IP change: 10.13.0.145 -> 10.13.0.72
[2025-08-24 19:16:25] [cti_watch_ip] IP change: 10.13.0.72 -> 10.13.0.167
