t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,4.0,1.0,0.0,0.0
0.002,1.0,4.0,1.0,0.0,0.0
0.004,0.0,4.0,1.0,0.0,0.0
0.961,0.0,4.0,1.0,0.0,0.0
1.663,1.0,4.0,1.0,0.0,0.0
1.665,1.0,4.0,1.0,0.0,0.0
1.667,0.0,4.0,1.0,0.0,0.0
2.647,0.0,4.0,2.0,0.0,0.0
3.348,1.0,4.0,1.0,0.0,0.0
3.35,1.0,4.0,1.0,0.0,0.0
3.352,0.0,4.0,1.0,0.0,0.0
4.313,0.0,4.0,2.0,0.0,0.0
4.998,1.0,4.0,1.0,0.0,0.0
5.001,1.0,4.0,1.0,0.0,0.0
5.003,0.0,4.0,1.0,0.0,0.0
6.353,1.0,5.0,2.0,0.0,0.0
6.355,1.0,5.0,2.0,0.0,0.0
12.094,1.0,5.0,2.0,0.0,0.0
12.747,1.0,4.0,1.0,0.0,0.0
12.75,1.0,4.0,1.0,0.0,0.0
12.752,0.0,4.0,1.0,0.0,0.0
14.097,1.0,5.0,2.0,0.0,0.0
14.099,1.0,5.0,2.0,0.0,0.0
19.86,1.0,5.0,2.0,0.0,0.0
20.578,1.0,4.0,1.0,0.0,0.0
20.583,1.0,4.0,1.0,0.0,0.0
20.585,0.0,4.0,1.0,0.0,0.0
21.919,1.0,5.0,2.0,0.0,0.0
21.921,1.0,5.0,2.0,0.0,0.0
27.686,1.0,5.0,2.0,0.0,0.0
28.378,1.0,4.0,1.0,0.0,0.0
28.38,1.0,4.0,1.0,0.0,0.0
28.382,0.0,4.0,1.0,0.0,0.0
29.717,1.0,5.0,2.0,0.0,0.0
29.719,1.0,5.0,2.0,0.0,0.0
35.498,1.0,5.0,2.0,0.0,0.0
36.182,1.0,4.0,1.0,0.0,0.0
36.184,1.0,4.0,1.0,0.0,0.0
36.187,0.0,4.0,1.0,0.0,0.0
37.134,0.0,4.0,1.0,0.0,0.0
37.83,1.0,4.0,1.0,0.0,0.0
37.833,1.0,4.0,1.0,0.0,0.0
37.835,0.0,4.0,1.0,0.0,0.0
39.215,1.0,5.0,2.0,0.0,0.0
39.218,1.0,5.0,2.0,0.0,0.0
45.038,1.0,5.0,2.0,0.0,0.0
45.727,1.0,4.0,1.0,0.0,0.0
45.729,1.0,4.0,1.0,0.0,0.0
45.732,0.0,4.0,1.0,0.0,0.0
46.707,0.0,4.0,2.0,0.0,0.0
47.434,1.0,4.0,1.0,0.0,0.0
47.436,1.0,4.0,1.0,0.0,0.0
47.438,0.0,4.0,1.0,0.0,0.0
48.785,1.0,5.0,2.0,0.0,0.0
48.787,1.0,5.0,2.0,0.0,0.0
54.586,1.0,5.0,1.0,0.0,0.0
55.274,1.0,4.0,1.0,0.0,0.0
55.276,1.0,4.0,1.0,0.0,0.0
55.278,0.0,4.0,1.0,0.0,0.0
56.628,1.0,5.0,2.0,0.0,0.0
