t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,dstPort,flowTag
0.0,0,0,0,0,0,14550,
0.0,0,0,0,0,0,8000,
0.1,0,0,0,0,0,14550,
0.1,0,0,0,0,0,8000,
0.2,0,0,0,0,0,14550,
0.2,0,0,0,0,0,8000,
0.3,0,0,0,0,0,14550,
0.3,0,0,0,0,0,8000,
0.4,0,0,0,0,0,14550,
0.4,0,0,0,0,0,8000,
0.5,0,0,0,0,0,14550,
0.5,0,0,0,0,0,8000,
0.6,0,0,0,0,0,14550,
0.6,0,0,0,0,0,8000,
0.7,0,0,0,0,0,14550,
0.7,0,0,0,0,0,8000,
0.8,0,0,0,0,0,14550,
0.8,0,0,0,0,0,8000,
0.9,0,0,0,0,0,14550,
0.9,0,0,0,0,0,8000,
1.0,0,0,0,0,0,14550,
1.0,0,0,0,0,0,8000,
1.1,0,0,0,0,0,14550,
1.1,0,0,0,0,0,8000,
1.2,0,0,0,0,0,14550,
1.2,0,0,0,0,0,8000,
1.3,0,0,0,0,0,14550,
1.3,0,0,0,0,0,8000,
1.4,0,0,0,0,0,14550,
1.4,0,0,0,0,0,8000,
1.5,0,0,0,0,0,14550,
1.5,0,0,0,0,0,8000,
1.6,0,0,0,0,0,14550,
1.6,0,0,0,0,0,8000,
1.7,0,0,0,0,0,14550,
1.7,0,0,0,0,0,8000,
1.8,0,0,0,0,0,14550,
1.8,0,0,0,0,0,8000,
1.9,0,0,0,0,0,14550,
1.9,0,0,0,0,0,8000,
2.0,0,0,0,0,0,14550,
2.0,0,0,0,0,0,8000,
2.1,0,0,0,0,0,14550,
2.1,0,0,0,0,0,8000,
2.2,0,0,0,0,0,14550,
2.2,0,0,0,0,0,8000,
2.3,0,0,0,0,0,14550,
2.3,0,0,0,0,0,8000,
2.4,0,0,0,0,0,14550,
2.4,0,0,0,0,0,8000,
2.5,0,0,0,0,0,14550,
2.5,0,0,0,0,0,8000,
2.6,0,0,0,0,0,14550,
2.6,0,0,0,0,0,8000,
2.7,0,0,0,0,0,14550,
2.7,0,0,0,0,0,8000,
2.8,0,0,0,0,0,14550,
2.8,0,0,0,0,0,8000,
2.9,0,0,0,0,0,14550,
2.9,0,0,0,0,0,8000,
3.0,0,0,0,0,0,14550,
3.0,0,0,0,0,0,8000,
3.1,0,0,0,0,0,14550,
3.1,0,0,0,0,0,8000,
3.2,0,0,0,0,0,14550,
3.2,0,0,0,0,0,8000,
3.3,0,0,0,0,0,14550,
3.3,0,0,0,0,0,8000,
3.4,0,0,0,0,0,14550,
3.4,0,0,0,0,0,8000,
3.5,0,0,0,0,0,14550,
3.5,0,0,0,0,0,8000,
3.6,0,0,0,0,0,14550,
3.6,0,0,0,0,0,8000,
3.7,0,0,0,0,0,14550,
3.7,0,0,0,0,0,8000,
3.8,0,0,0,0,0,14550,
3.8,0,0,0,0,0,8000,
3.9,0,0,0,0,0,14550,
3.9,0,0,0,0,0,8000,
4.0,0,0,0,0,0,14550,
4.0,0,0,0,0,0,8000,
4.1,0,0,0,0,0,14550,
4.1,0,0,0,0,0,8000,
4.2,0,0,0,0,0,14550,
4.2,0,0,0,0,0,8000,
4.3,0,0,0,0,0,14550,
4.3,0,0,0,0,0,8000,
4.4,0,0,0,0,0,14550,
4.4,0,0,0,0,0,8000,
4.5,0,0,0,0,0,14550,
4.5,0,0,0,0,0,8000,
4.6,0,0,0,0,0,14550,
4.6,0,0,0,0,0,8000,
4.7,0,0,0,0,0,14550,
4.7,0,0,0,0,0,8000,
4.8,0,0,0,0,0,14550,
4.8,0,0,0,0,0,8000,
4.9,0,0,0,0,0,14550,
4.9,0,0,0,0,0,8000,
5.0,0,0,0,0,0,14550,
5.0,0,0,0,0,0,8000,
5.1,0,0,0,0,0,14550,
5.1,0,0,0,0,0,8000,
5.2,0,0,0,0,0,14550,
5.2,0,0,0,0,0,8000,
5.3,0,0,0,0,0,14550,
5.3,0,0,0,0,0,8000,
5.4,0,0,0,0,0,14550,
5.4,0,0,0,0,0,8000,
5.5,0,0,0,0,0,14550,
5.5,0,0,0,0,0,8000,
5.6,0,0,0,0,0,14550,
5.6,0,0,0,0,0,8000,
5.7,0,0,0,0,0,14550,
5.7,0,0,0,0,0,8000,
5.8,0,0,0,0,0,14550,
5.8,0,0,0,0,0,8000,
5.9,0,0,0,0,0,14550,
5.9,0,0,0,0,0,8000,
6.0,0,0,0,0,0,14550,
6.0,0,0,0,0,0,8000,
6.1,0,0,0,0,0,14550,
6.1,0,0,0,0,0,8000,
6.2,0,0,0,0,0,14550,
6.2,0,0,0,0,0,8000,
6.3,0,0,0,0,0,14550,
6.3,0,0,0,0,0,8000,
6.4,0,0,0,0,0,14550,
6.4,0,0,0,0,0,8000,
6.5,0,0,0,0,0,14550,
6.5,0,0,0,0,0,8000,
6.6,0,0,0,0,0,14550,
6.6,0,0,0,0,0,8000,
6.7,0,0,0,0,0,14550,
6.7,0,0,0,0,0,8000,
6.8,0,0,0,0,0,14550,
6.8,0,0,0,0,0,8000,
6.9,0,0,0,0,0,14550,
6.9,0,0,0,0,0,8000,
7.0,0,0,0,0,0,14550,
7.0,0,0,0,0,0,8000,
7.1,0,0,0,0,0,14550,
7.1,0,0,0,0,0,8000,
7.2,0,0,0,0,0,14550,
7.2,0,0,0,0,0,8000,
7.3,0,0,0,0,0,14550,
7.3,0,0,0,0,0,8000,
7.4,0,0,0,0,0,14550,
7.4,0,0,0,0,0,8000,
7.5,0,0,0,0,0,14550,
7.5,0,0,0,0,0,8000,
7.6,0,0,0,0,0,14550,
7.6,0,0,0,0,0,8000,
7.7,0,0,0,0,0,14550,
7.7,0,0,0,0,0,8000,
7.8,0,0,0,0,0,14550,
7.8,0,0,0,0,0,8000,
7.9,0,0,0,0,0,14550,
7.9,0,0,0,0,0,8000,
8.0,0,0,0,0,0,14550,
8.0,0,0,0,0,0,8000,
8.1,0,0,0,0,0,14550,
8.1,0,0,0,0,0,8000,
8.2,0,0,0,0,0,14550,
8.2,0,0,0,0,0,8000,
8.3,0,0,0,0,0,14550,
8.3,0,0,0,0,0,8000,
8.4,0,0,0,0,0,14550,
8.4,0,0,0,0,0,8000,
8.5,0,0,0,0,0,14550,
8.5,0,0,0,0,0,8000,
8.6,0,0,0,0,0,14550,
8.6,0,0,0,0,0,8000,
8.7,0,0,0,0,0,14550,
8.7,0,0,0,0,0,8000,
8.8,0,0,0,0,0,14550,
8.8,0,0,0,0,0,8000,
8.9,0,0,0,0,0,14550,
8.9,0,0,0,0,0,8000,
9.0,0,0,0,0,0,14550,
9.0,0,0,0,0,0,8000,
9.1,0,0,0,0,0,14550,
9.1,0,0,0,0,0,8000,
9.2,0,0,0,0,0,14550,
9.2,0,0,0,0,0,8000,
9.3,0,0,0,0,0,14550,
9.3,0,0,0,0,0,8000,
9.4,0,0,0,0,0,14550,
9.4,0,0,0,0,0,8000,
9.5,0,0,0,0,0,14550,
9.5,0,0,0,0,0,8000,
9.6,0,0,0,0,0,14550,
9.6,0,0,0,0,0,8000,
9.7,0,0,0,0,0,14550,
9.7,0,0,0,0,0,8000,
9.8,0,0,0,0,0,14550,
9.8,0,0,0,0,0,8000,
9.9,0,0,0,0,0,14550,
9.9,0,0,0,0,0,8000,
10.0,0,0,0,0,0,14550,
10.0,0,0,0,0,0,8000,
10.1,0,0,0,0,0,14550,
10.1,0,0,0,0,0,8000,
10.2,0,0,0,0,0,14550,
10.2,0,0,0,0,0,8000,
10.3,0,0,0,0,0,14550,
10.3,0,0,0,0,0,8000,
10.4,0,0,0,0,0,14550,
10.4,0,0,0,0,0,8000,
10.5,0,0,0,0,0,14550,
10.5,0,0,0,0,0,8000,
10.6,0,0,0,0,0,14550,
10.6,0,0,0,0,0,8000,
10.7,0,0,0,0,0,14550,
10.7,0,0,0,0,0,8000,
10.8,0,0,0,0,0,14550,
10.8,0,0,0,0,0,8000,
10.9,0,0,0,0,0,14550,
10.9,0,0,0,0,0,8000,
11.0,0,0,0,0,0,14550,
11.0,0,0,0,0,0,8000,
11.1,0,0,0,0,0,14550,
11.1,0,0,0,0,0,8000,
11.2,0,0,0,0,0,14550,
11.2,0,0,0,0,0,8000,
11.3,0,0,0,0,0,14550,
11.3,0,0,0,0,0,8000,
11.4,0,0,0,0,0,14550,
11.4,0,0,0,0,0,8000,
11.5,0,0,0,0,0,14550,
11.5,0,0,0,0,0,8000,
11.6,0,0,0,0,0,14550,
11.6,0,0,0,0,0,8000,
11.7,0,0,0,0,0,14550,
11.7,0,0,0,0,0,8000,
11.8,0,0,0,0,0,14550,
11.8,0,0,0,0,0,8000,
11.9,0,0,0,0,0,14550,
11.9,0,0,0,0,0,8000,
12.0,0,0,0,0,0,14550,
12.0,0,0,0,0,0,8000,
12.1,0,0,0,0,0,14550,
12.1,0,0,0,0,0,8000,
12.2,0,0,0,0,0,14550,
12.2,0,0,0,0,0,8000,
12.3,0,0,0,0,0,14550,
12.3,0,0,0,0,0,8000,
12.4,0,0,0,0,0,14550,
12.4,0,0,0,0,0,8000,
12.5,0,0,0,0,0,14550,
12.5,0,0,0,0,0,8000,
12.6,0,0,0,0,0,14550,
12.6,0,0,0,0,0,8000,
12.7,0,0,0,0,0,14550,
12.7,0,0,0,0,0,8000,
12.8,0,0,0,0,0,14550,
12.8,0,0,0,0,0,8000,
12.9,0,0,0,0,0,14550,
12.9,0,0,0,0,0,8000,
13.0,0,0,0,0,0,14550,
13.0,0,0,0,0,0,8000,
13.1,0,0,0,0,0,14550,
13.1,0,0,0,0,0,8000,
13.2,0,0,0,0,0,14550,
13.2,0,0,0,0,0,8000,
13.3,0,0,0,0,0,14550,
13.3,0,0,0,0,0,8000,
13.4,0,0,0,0,0,14550,
13.4,0,0,0,0,0,8000,
13.5,0,0,0,0,0,14550,
13.5,0,0,0,0,0,8000,
13.6,0,0,0,0,0,14550,
13.6,0,0,0,0,0,8000,
13.7,0,0,0,0,0,14550,
13.7,0,0,0,0,0,8000,
13.8,0,0,0,0,0,14550,
13.8,0,0,0,0,0,8000,
13.9,0,0,0,0,0,14550,
13.9,0,0,0,0,0,8000,
14.0,0,0,0,0,0,14550,
14.0,0,0,0,0,0,8000,
14.1,0,0,0,0,0,14550,
14.1,0,0,0,0,0,8000,
14.2,0,0,0,0,0,14550,
14.2,0,0,0,0,0,8000,
14.3,0,0,0,0,0,14550,
14.3,0,0,0,0,0,8000,
14.4,0,0,0,0,0,14550,
14.4,0,0,0,0,0,8000,
14.5,0,0,0,0,0,14550,
14.5,0,0,0,0,0,8000,
14.6,0,0,0,0,0,14550,
14.6,0,0,0,0,0,8000,
14.7,0,0,0,0,0,14550,
14.7,0,0,0,0,0,8000,
14.8,0,0,0,0,0,14550,
14.8,0,0,0,0,0,8000,
14.9,0,0,0,0,0,14550,
14.9,0,0,0,0,0,8000,
15.0,0,0,0,0,0,14550,
15.0,0,0,0,0,0,8000,
15.1,0,0,0,0,0,14550,
15.1,0,0,0,0,0,8000,
15.2,0,0,0,0,0,14550,
15.2,0,0,0,0,0,8000,
15.3,0,0,0,0,0,14550,
15.3,0,0,0,0,0,8000,
15.4,0,0,0,0,0,14550,
15.4,0,0,0,0,0,8000,
15.5,0,0,0,0,0,14550,
15.5,0,0,0,0,0,8000,
15.6,0,0,0,0,0,14550,
15.6,0,0,0,0,0,8000,
15.7,0,0,0,0,0,14550,
15.7,0,0,0,0,0,8000,
15.8,0,0,0,0,0,14550,
15.8,0,0,0,0,0,8000,
15.9,0,0,0,0,0,14550,
15.9,0,0,0,0,0,8000,
16.0,0,0,0,0,0,14550,
16.0,0,0,0,0,0,8000,
16.1,0,0,0,0,0,14550,
16.1,0,0,0,0,0,8000,
16.2,0,0,0,0,0,14550,
16.2,0,0,0,0,0,8000,
16.3,0,0,0,0,0,14550,
16.3,0,0,0,0,0,8000,
16.4,0,0,0,0,0,14550,
16.4,0,0,0,0,0,8000,
16.5,0,0,0,0,0,14550,
16.5,0,0,0,0,0,8000,
16.6,0,0,0,0,0,14550,
16.6,0,0,0,0,0,8000,
16.7,0,0,0,0,0,14550,
16.7,0,0,0,0,0,8000,
16.8,0,0,0,0,0,14550,
16.8,0,0,0,0,0,8000,
16.9,0,0,0,0,0,14550,
16.9,0,0,0,0,0,8000,
17.0,0,0,0,0,0,14550,
17.0,0,0,0,0,0,8000,
17.1,0,0,0,0,0,14550,
17.1,0,0,0,0,0,8000,
17.2,0,0,0,0,0,14550,
17.2,0,0,0,0,0,8000,
17.3,0,0,0,0,0,14550,
17.3,0,0,0,0,0,8000,
17.4,0,0,0,0,0,14550,
17.4,0,0,0,0,0,8000,
17.5,0,0,0,0,0,14550,
17.5,0,0,0,0,0,8000,
17.6,0,0,0,0,0,14550,
17.6,0,0,0,0,0,8000,
17.7,0,0,0,0,0,14550,
17.7,0,0,0,0,0,8000,
17.8,0,0,0,0,0,14550,
17.8,0,0,0,0,0,8000,
17.9,0,0,0,0,0,14550,
17.9,0,0,0,0,0,8000,
18.0,0,0,0,0,0,14550,
18.0,0,0,0,0,0,8000,
18.1,0,0,0,0,0,14550,
18.1,0,0,0,0,0,8000,
18.2,0,0,0,0,0,14550,
18.2,0,0,0,0,0,8000,
18.3,0,0,0,0,0,14550,
18.3,0,0,0,0,0,8000,
18.4,0,0,0,0,0,14550,
18.4,0,0,0,0,0,8000,
18.5,0,0,0,0,0,14550,
18.5,0,0,0,0,0,8000,
18.6,0,0,0,0,0,14550,
18.6,0,0,0,0,0,8000,
18.7,0,0,0,0,0,14550,
18.7,0,0,0,0,0,8000,
18.8,0,0,0,0,0,14550,
18.8,0,0,0,0,0,8000,
18.9,0,0,0,0,0,14550,
18.9,0,0,0,0,0,8000,
19.0,0,0,0,0,0,14550,
19.0,0,0,0,0,0,8000,
19.1,0,0,0,0,0,14550,
19.1,0,0,0,0,0,8000,
19.2,0,0,0,0,0,14550,
19.2,0,0,0,0,0,8000,
19.3,0,0,0,0,0,14550,
19.3,0,0,0,0,0,8000,
19.4,0,0,0,0,0,14550,
19.4,0,0,0,0,0,8000,
19.5,0,0,0,0,0,14550,
19.5,0,0,0,0,0,8000,
19.6,0,0,0,0,0,14550,
19.6,0,0,0,0,0,8000,
19.7,0,0,0,0,0,14550,
19.7,0,0,0,0,0,8000,
19.8,0,0,0,0,0,14550,
19.8,0,0,0,0,0,8000,
19.9,0,0,0,0,0,14550,
19.9,0,0,0,0,0,8000,
20.0,0,0,0,0,0,14550,
20.0,0,0,0,0,0,8000,
20.1,0,0,0,0,0,14550,
20.1,0,0,0,0,0,8000,
20.2,0,0,0,0,0,14550,
20.2,0,0,0,0,0,8000,
20.3,0,0,0,0,0,14550,
20.3,0,0,0,0,0,8000,
20.4,0,0,0,0,0,14550,
20.4,0,0,0,0,0,8000,
20.5,0,0,0,0,0,14550,
20.5,0,0,0,0,0,8000,
20.6,0,0,0,0,0,14550,
