time_s,rx_packets_total,rx_bytes_total,throughput_mbps_window
1,0,0,0
2,119,60928,0.487424
3,221,113152,0.417792
4,340,174080,0.487424
5,459,235008,0.487424
6,578,295936,0.487424
7,697,356864,0.487424
8,814,416768,0.479232
9,934,478208,0.49152
10,1048,536576,0.466944
11,1167,597504,0.487424
12,1287,658944,0.49152
13,1407,720384,0.49152
14,1529,782848,0.499712
15,1631,835072,0.417792
16,1752,897024,0.495616
17,1869,956928,0.479232
18,1982,1014784,0.462848
19,2102,1076224,0.49152
20,2221,1137152,0.487424
21,2341,1198592,0.49152
22,2446,1252352,0.43008
23,2568,1314816,0.499712
24,2686,1375232,0.483328
25,2798,1432576,0.458752
26,2916,1492992,0.483328
27,3036,1554432,0.49152
28,3156,1615872,0.49152
29,3272,1675264,0.475136
30,3392,1736704,0.49152
31,3512,1798144,0.49152
32,3630,1858560,0.483328
33,3734,1911808,0.425984
34,3854,1973248,0.49152
35,3955,2024960,0.413696
36,4064,2080768,0.446464
37,4184,2142208,0.49152
38,4300,2201600,0.475136
39,4419,2262528,0.487424
40,4539,2323968,0.49152
41,4659,2385408,0.49152
42,4778,2446336,0.487424
43,4895,2506240,0.479232
44,5016,2568192,0.495616
45,5135,2629120,0.487424
46,5251,2688512,0.475136
47,5358,2743296,0.438272
48,5481,2806272,0.503808
49,5603,2868736,0.499712
50,5722,2929664,0.487424
51,5827,2983424,0.43008
52,5949,3045888,0.499712
53,6064,3104768,0.47104
54,6174,3161088,0.45056
55,6295,3223040,0.495616
56,6415,3284480,0.49152
57,6536,3346432,0.495616
58,6655,3407360,0.487424
59,6775,3468800,0.49152
