Netid  State    Recv-Q   Send-Q     Local Address:Port      Peer Address:Port   Process                                                                         
udp    ESTAB    0        0              10.13.0.5:39230        10.13.0.2:9003    users:(("gzserver",pid=100,fd=46))                                             
udp    UNCONN   0        0              10.13.0.5:9002           0.0.0.0:*       users:(("gzserver",pid=100,fd=43))                                             
udp    UNCONN   0        0             127.0.0.11:58333          0.0.0.0:*                                                                                      
udp    UNCONN   0        0                0.0.0.0:10317          0.0.0.0:*       users:(("gzserver",pid=100,fd=36))                                             
udp    UNCONN   0        0                0.0.0.0:10318          0.0.0.0:*       users:(("gzserver",pid=100,fd=39))                                             
udp    UNCONN   0        0                0.0.0.0:36318          0.0.0.0:*       users:(("rosout",pid=52,fd=8))                                                 
udp    UNCONN   0        0                0.0.0.0:37000          0.0.0.0:*       users:(("gzserver",pid=100,fd=13))                                             
tcp    LISTEN   0        4096          127.0.0.11:35991          0.0.0.0:*                                                                                      
tcp    LISTEN   0        100            10.13.0.5:44087          0.0.0.0:*       users:(("gzserver",pid=100,fd=42))                                             
tcp    LISTEN   0        100            10.13.0.5:41679          0.0.0.0:*       users:(("gzserver",pid=100,fd=41))                                             
tcp    LISTEN   0        128              0.0.0.0:8000           0.0.0.0:*       users:(("python3",pid=181,fd=7),("python3",pid=181,fd=6),("python3",pid=168,fd=6))
tcp    LISTEN   0        5                0.0.0.0:33747          0.0.0.0:*       users:(("gzserver",pid=100,fd=14))                                             
tcp    LISTEN   0        100            10.13.0.5:40755          0.0.0.0:*       users:(("gzserver",pid=100,fd=40))                                             
tcp    LISTEN   0        4096             0.0.0.0:34593          0.0.0.0:*       users:(("node",pid=189,fd=22))                                                 
tcp    LISTEN   0        5                0.0.0.0:43229          0.0.0.0:*       users:(("rosout",pid=52,fd=9))                                                 
tcp    LISTEN   0        128              0.0.0.0:43171          0.0.0.0:*       users:(("roslaunch",pid=32,fd=4))                                              
tcp    LISTEN   0        4096             0.0.0.0:11345          0.0.0.0:*       users:(("gzserver",pid=100,fd=7))                                              
tcp    LISTEN   0        128              0.0.0.0:11311          0.0.0.0:*       users:(("rosmaster",pid=42,fd=4))                                              
tcp    LISTEN   0        4096             0.0.0.0:44243          0.0.0.0:*       users:(("gzserver",pid=100,fd=16))                                             
tcp    LISTEN   0        100              0.0.0.0:53103          0.0.0.0:*       users:(("rosout",pid=52,fd=7))                                                 
tcp    LISTEN   0        100              0.0.0.0:36815          0.0.0.0:*       users:(("gzserver",pid=100,fd=12))                                             
tcp    ESTAB    0        0              10.13.0.5:44243        10.13.0.5:59120   users:(("gzserver",pid=100,fd=53))                                             
tcp    ESTAB    0        0              10.13.0.5:47474        10.13.0.3:45435   users:(("rosout",pid=52,fd=19))                                                
tcp    ESTAB    0        0              10.13.0.5:59106        10.13.0.5:44243   users:(("node",pid=189,fd=27))                                                 
tcp    ESTAB    0        0              10.13.0.5:36815        10.13.0.3:40082   users:(("gzserver",pid=100,fd=51))                                             
tcp    ESTAB    0        0              10.13.0.5:44243        10.13.0.5:59106   users:(("gzserver",pid=100,fd=52))                                             
tcp    ESTAB    0        0              10.13.0.5:34593        10.13.0.5:57364   users:(("node",pid=189,fd=39))                                                 
tcp    ESTAB    0        0              10.13.0.5:38824        10.13.0.5:43229   users:(("rosmaster",pid=42,fd=9))                                              
tcp    ESTAB    0        0              10.13.0.5:57372        10.13.0.5:34593   users:(("gzserver",pid=100,fd=67))                                             
tcp    ESTAB    0        0              10.13.0.5:33747        10.13.0.5:54380   users:(("gzserver",pid=100,fd=44))                                             
tcp    ESTAB    0        0              10.13.0.5:41594        10.13.0.5:36815   users:(("rosout",pid=52,fd=13))                                                
tcp    ESTAB    0        0              10.13.0.5:59166        10.13.0.5:44243   users:(("node",pid=189,fd=34))                                                 
tcp    ESTAB    0        0              10.13.0.5:38916        10.13.0.3:45991   users:(("rosout",pid=52,fd=17))                                                
tcp    ESTAB    0        0              10.13.0.5:44243        10.13.0.5:59156   users:(("gzserver",pid=100,fd=56))                                             
tcp    ESTAB    0        0              10.13.0.5:54380        10.13.0.5:33747   users:(("rosmaster",pid=42,fd=10))                                             
tcp    ESTAB    0        0              10.13.0.5:59144        10.13.0.5:44243   users:(("node",pid=189,fd=31))                                                 
tcp    ESTAB    0        0              10.13.0.5:11311        10.13.0.3:47376   users:(("rosmaster",pid=42,fd=11))                                             
tcp    ESTAB    0        0              10.13.0.5:11311        10.13.0.3:47384   users:(("rosmaster",pid=42,fd=13))                                             
tcp    ESTAB    0        0              10.13.0.5:43229        10.13.0.5:38820   users:(("rosout",pid=52,fd=11))                                                
tcp    ESTAB    0        0              10.13.0.5:59200        10.13.0.5:44243   users:(("node",pid=189,fd=41))                                                 
tcp    ESTAB    0        0              10.13.0.5:57366        10.13.0.5:34593   users:(("gzserver",pid=100,fd=63))                                             
tcp    ESTAB    0        0              127.0.0.1:55660        127.0.0.1:11311   users:(("gzserver",pid=100,fd=15))                                             
tcp    ESTAB    0        0              10.13.0.5:57364        10.13.0.5:34593   users:(("gzserver",pid=100,fd=59))                                             
tcp    ESTAB    0        0              127.0.0.1:11311        127.0.0.1:55652   users:(("rosmaster",pid=42,fd=5))                                              
tcp    ESTAB    0        0              10.13.0.5:44243        10.13.0.5:59144   users:(("gzserver",pid=100,fd=55))                                             
tcp    ESTAB    0        0              10.13.0.5:44243        10.13.0.5:59212   users:(("gzserver",pid=100,fd=66))                                             
tcp    ESTAB    0        0              10.13.0.5:59134        10.13.0.5:44243   users:(("node",pid=189,fd=26))                                                 
tcp    ESTAB    0        0              10.13.0.5:11311        10.13.0.3:47398   users:(("rosmaster",pid=42,fd=14))                                             
tcp    ESTAB    0        0              10.13.0.5:44243        10.13.0.5:59166   users:(("gzserver",pid=100,fd=58))                                             
tcp    ESTAB    0        0              127.0.0.1:55658        127.0.0.1:11311   users:(("gzserver",pid=100,fd=8))                                              
tcp    ESTAB    0        0              10.13.0.5:44243        10.13.0.5:59200   users:(("gzserver",pid=100,fd=65))                                             
tcp    ESTAB    0        0              10.13.0.5:41624        10.13.0.5:36815   users:(("rosout",pid=52,fd=15))                                                
tcp    ESTAB    0        0              10.13.0.5:34593        10.13.0.5:57366   users:(("node",pid=189,fd=42))                                                 
tcp    ESTAB    0        0              10.13.0.5:34593        10.13.0.5:57362   users:(("node",pid=189,fd=38))                                                 
tcp    ESTAB    0        0              10.13.0.5:57380        10.13.0.5:34593   users:(("gzserver",pid=100,fd=68))                                             
tcp    ESTAB    0        0              10.13.0.5:59156        10.13.0.5:44243   users:(("node",pid=189,fd=33))                                                 
tcp    ESTAB    0        0              10.13.0.5:36815        10.13.0.3:40066   users:(("gzserver",pid=100,fd=49))                                             
