t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,dstPort,flowTag
0.0,0,0,0,0,0,5760,
0.1,0,0,0,0,0,5760,
0.2,0,0,0,0,0,5760,
0.3,0,0,0,0,0,5760,
0.4,0,0,0,0,0,5760,
0.5,0,0,0,0,0,5760,
0.6,0,0,0,0,0,5760,
0.7,0,0,0,0,0,5760,
0.8,0,0,0,0,0,5760,
0.9,0,0,0,0,0,5760,
1.0,0,0,0,0,0,5760,
1.1,0,0,0,0,0,5760,
1.2,0,0,0,0,0,5760,
1.3,0,0,0,0,0,5760,
1.4,0,0,0,0,0,5760,
1.5,0,0,0,0,0,5760,
1.6,0,0,0,0,0,5760,
1.7,0,0,0,0,0,5760,
1.8,0,0,0,0,0,5760,
1.9,0,0,0,0,0,5760,
2.0,0,0,0,0,0,5760,
2.1,0,0,0,0,0,5760,
2.2,0,0,0,0,0,5760,
2.3,0,0,0,0,0,5760,
2.4,0,0,0,0,0,5760,
2.5,0,0,0,0,0,5760,
2.6,0,0,0,0,0,5760,
2.7,0,0,0,0,0,5760,
2.8,0,0,0,0,0,5760,
2.9,0,0,0,0,0,5760,
3.0,0,0,0,0,0,5760,
3.1,0,0,0,0,0,5760,
3.2,0,0,0,0,0,5760,
3.3,0,0,0,0,0,5760,
3.4,0,0,0,0,0,5760,
3.5,0,0,0,0,0,5760,
3.6,0,0,0,0,0,5760,
3.7,0,0,0,0,0,5760,
3.8,0,0,0,0,0,5760,
3.9,0,0,0,0,0,5760,
4.0,0,0,0,0,0,5760,
4.1,0,0,0,0,0,5760,
4.2,0,0,0,0,0,5760,
4.3,0,0,0,0,0,5760,
4.4,0,0,0,0,0,5760,
4.5,0,0,0,0,0,5760,
4.6,0,0,0,0,0,5760,
4.7,0,0,0,0,0,5760,
4.8,0,0,0,0,0,5760,
4.9,0,0,0,0,0,5760,
5.0,0,0,0,0,0,5760,
5.1,0,0,0,0,0,5760,
5.2,0,0,0,0,0,5760,
5.3,0,0,0,0,0,5760,
5.4,0,0,0,0,0,5760,
5.5,0,0,0,0,0,5760,
5.6,0,0,0,0,0,5760,
5.7,0,0,0,0,0,5760,
5.8,0,0,0,0,0,5760,
5.9,0,0,0,0,0,5760,
6.0,0,0,0,0,0,5760,
6.1,0,0,0,0,0,5760,
6.2,0,0,0,0,0,5760,
6.3,0,0,0,0,0,5760,
6.4,0,0,0,0,0,5760,
6.5,0,0,0,0,0,5760,
6.6,0,0,0,0,0,5760,
6.7,0,0,0,0,0,5760,
6.8,0,0,0,0,0,5760,
6.9,0,0,0,0,0,5760,
7.0,0,0,0,0,0,5760,
7.1,0,0,0,0,0,5760,
7.2,0,0,0,0,0,5760,
7.3,0,0,0,0,0,5760,
7.4,0,0,0,0,0,5760,
7.5,0,0,0,0,0,5760,
7.6,0,0,0,0,0,5760,
7.7,0,0,0,0,0,5760,
7.8,0,0,0,0,0,5760,
7.9,0,0,0,0,0,5760,
8.0,0,0,0,0,0,5760,
8.1,0,0,0,0,0,5760,
8.2,0,0,0,0,0,5760,
8.3,0,0,0,0,0,5760,
8.4,0,0,0,0,0,5760,
8.5,0,0,0,0,0,5760,
8.6,0,0,0,0,0,5760,
8.7,0,0,0,0,0,5760,
8.8,0,0,0,0,0,5760,
8.9,0,0,0,0,0,5760,
9.0,0,0,0,0,0,5760,
9.1,0,0,0,0,0,5760,
9.2,0,0,0,0,0,5760,
9.3,0,0,0,0,0,5760,
9.4,0,0,0,0,0,5760,
9.5,0,0,0,0,0,5760,
9.6,0,0,0,0,0,5760,
9.7,0,0,0,0,0,5760,
