t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,dstPort,flowTag
0.0,0,0,0,0,0,8080,
0.1,0,0,0,0,0,8080,
0.2,0,0,0,0,0,8080,
0.3,0,0,0,0,0,8080,
0.4,0,0,0,0,0,8080,
0.5,0,0,0,0,0,8080,
0.6,0,0,0,0,0,8080,
0.7,0,0,0,0,0,8080,
0.8,0,0,0,0,0,8080,
0.9,0,0,0,0,0,8080,
1.0,0,0,0,0,0,8080,
1.1,0,0,0,0,0,8080,
1.2,0,0,0,0,0,8080,
1.3,0,0,0,0,0,8080,
1.4,0,0,0,0,0,8080,
1.5,0,0,0,0,0,8080,
1.6,0,0,0,0,0,8080,
1.7,0,0,0,0,0,8080,
1.8,0,0,0,0,0,8080,
1.9,0,0,0,0,0,8080,
2.0,0,0,0,0,0,8080,
2.1,0,0,0,0,0,8080,
2.2,0,0,0,0,0,8080,
2.3,0,0,0,0,0,8080,
2.4,0,0,0,0,0,8080,
2.5,0,0,0,0,0,8080,
2.6,0,0,0,0,0,8080,
2.7,0,0,0,0,0,8080,
2.8,0,0,0,0,0,8080,
2.9,0,0,0,0,0,8080,
3.0,0,0,0,0,0,8080,
3.1,0,0,0,0,0,8080,
3.2,0,0,0,0,0,8080,
3.3,0,0,0,0,0,8080,
3.4,0,0,0,0,0,8080,
3.5,0,0,0,0,0,8080,
3.6,0,0,0,0,0,8080,
3.7,0,0,0,0,0,8080,
3.8,0,0,0,0,0,8080,
3.9,0,0,0,0,0,8080,
4.0,0,0,0,0,0,8080,
4.1,0,0,0,0,0,8080,
4.2,0,0,0,0,0,8080,
4.3,0,0,0,0,0,8080,
4.4,0,0,0,0,0,8080,
4.5,0,0,0,0,0,8080,
4.6,0,0,0,0,0,8080,
4.7,0,0,0,0,0,8080,
4.8,0,0,0,0,0,8080,
4.9,0,0,0,0,0,8080,
5.0,0,0,0,0,0,8080,
5.1,0,0,0,0,0,8080,
5.2,0,0,0,0,0,8080,
5.3,0,0,0,0,0,8080,
5.4,0,0,0,0,0,8080,
5.5,0,0,0,0,0,8080,
5.6,0,0,0,0,0,8080,
5.7,0,0,0,0,0,8080,
5.8,0,0,0,0,0,8080,
5.9,0,0,0,0,0,8080,
6.0,0,0,0,0,0,8080,
6.1,0,0,0,0,0,8080,
6.2,0,0,0,0,0,8080,
6.3,0,0,0,0,0,8080,
6.4,0,0,0,0,0,8080,
6.5,0,0,0,0,0,8080,
6.6,0,0,0,0,0,8080,
6.7,0,0,0,0,0,8080,
6.8,0,0,0,0,0,8080,
6.9,0,0,0,0,0,8080,
7.0,0,0,0,0,0,8080,
7.1,0,0,0,0,0,8080,
7.2,0,0,0,0,0,8080,
7.3,0,0,0,0,0,8080,
7.4,0,0,0,0,0,8080,
7.5,0,0,0,0,0,8080,
7.6,0,0,0,0,0,8080,
7.7,0,0,0,0,0,8080,
7.8,0,0,0,0,0,8080,
7.9,0,0,0,0,0,8080,
8.0,0,0,0,0,0,8080,
8.1,0,0,0,0,0,8080,
8.2,0,0,0,0,0,8080,
8.3,0,0,0,0,0,8080,
8.4,0,0,0,0,0,8080,
8.5,0,0,0,0,0,8080,
8.6,0,0,0,0,0,8080,
8.7,0,0,0,0,0,8080,
8.8,0,0,0,0,0,8080,
8.9,0,0,0,0,0,8080,
9.0,0,0,0,0,0,8080,
9.1,0,0,0,0,0,8080,
9.2,0,0,0,0,0,8080,
9.3,0,0,0,0,0,8080,
9.4,0,0,0,0,0,8080,
9.5,0,0,0,0,0,8080,
9.6,0,0,0,0,0,8080,
9.7,0,0,0,0,0,8080,
9.8,0,0,0,0,0,8080,
9.9,0,0,0,0,0,8080,
10.0,0,0,0,0,0,8080,
10.1,0,0,0,0,0,8080,
10.2,0,0,0,0,0,8080,
10.3,0,0,0,0,0,8080,
10.4,0,0,0,0,0,8080,
10.5,0,0,0,0,0,8080,
10.6,0,0,0,0,0,8080,
10.7,0,0,0,0,0,8080,
10.8,0,0,0,0,0,8080,
10.9,0,0,0,0,0,8080,
11.0,0,0,0,0,0,8080,
11.1,0,0,0,0,0,8080,
11.2,0,0,0,0,0,8080,
11.3,0,0,0,0,0,8080,
11.4,0,0,0,0,0,8080,
11.5,0,0,0,0,0,8080,
11.6,0,0,0,0,0,8080,
11.7,0,0,0,0,0,8080,
11.8,0,0,0,0,0,8080,
11.9,0,0,0,0,0,8080,
12.0,0,0,0,0,0,8080,
12.1,0,0,0,0,0,8080,
12.2,0,0,0,0,0,8080,
12.3,0,0,0,0,0,8080,
12.4,0,0,0,0,0,8080,
12.5,0,0,0,0,0,8080,
12.6,0,0,0,0,0,8080,
12.7,0,0,0,0,0,8080,
12.8,0,0,0,0,0,8080,
12.9,0,0,0,0,0,8080,
13.0,0,0,0,0,0,8080,
13.1,0,0,0,0,0,8080,
13.2,0,0,0,0,0,8080,
13.3,0,0,0,0,0,8080,
13.4,0,0,0,0,0,8080,
13.5,0,0,0,0,0,8080,
13.6,0,0,0,0,0,8080,
13.7,0,0,0,0,0,8080,
13.8,0,0,0,0,0,8080,
13.9,0,0,0,0,0,8080,
14.0,0,0,0,0,0,8080,
14.1,0,0,0,0,0,8080,
14.2,0,0,0,0,0,8080,
14.3,0,0,0,0,0,8080,
14.4,0,0,0,0,0,8080,
14.5,0,0,0,0,0,8080,
14.6,0,0,0,0,0,8080,
14.7,0,0,0,0,0,8080,
14.8,0,0,0,0,0,8080,
14.9,0,0,0,0,0,8080,
15.0,0,0,0,0,0,8080,
15.1,0,0,0,0,0,8080,
15.2,0,0,0,0,0,8080,
15.3,0,0,0,0,0,8080,
15.4,0,0,0,0,0,8080,
15.5,0,0,0,0,0,8080,
15.6,0,0,0,0,0,8080,
15.7,0,0,0,0,0,8080,
15.8,0,0,0,0,0,8080,
15.9,0,0,0,0,0,8080,
16.0,0,0,0,0,0,8080,
16.1,0,0,0,0,0,8080,
16.2,0,0,0,0,0,8080,
16.3,0,0,0,0,0,8080,
16.4,0,0,0,0,0,8080,
16.5,0,0,0,0,0,8080,
16.6,0,0,0,0,0,8080,
16.7,0,0,0,0,0,8080,
16.8,0,0,0,0,0,8080,
16.9,0,0,0,0,0,8080,
17.0,0,0,0,0,0,8080,
17.1,0,0,0,0,0,8080,
17.2,0,0,0,0,0,8080,
17.3,0,0,0,0,0,8080,
17.4,0,0,0,0,0,8080,
17.5,0,0,0,0,0,8080,
17.6,0,0,0,0,0,8080,
17.7,0,0,0,0,0,8080,
17.8,0,0,0,0,0,8080,
17.9,0,0,0,0,0,8080,
18.0,0,0,0,0,0,8080,
18.1,0,0,0,0,0,8080,
18.2,0,0,0,0,0,8080,
18.3,0,0,0,0,0,8080,
18.4,0,0,0,0,0,8080,
18.5,0,0,0,0,0,8080,
18.6,0,0,0,0,0,8080,
18.7,0,0,0,0,0,8080,
18.8,0,0,0,0,0,8080,
18.9,0,0,0,0,0,8080,
