md,sh,shell_blocks,python_blocks
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Attitude-Spoofing.md,modules/attacks_wiki/attitude-spoofing.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Basic-Operations.md,modules/attacks_wiki/basic-operations.sh,3,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Battery-Spoofing.md,modules/attacks_wiki/battery-spoofing.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Camera-Feed-Eavesdropping.md,modules/attacks_wiki/camera-feed-eavesdropping.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Camera-Feed-ROS-Topic-Flooding.md,modules/attacks_wiki/camera-feed-ros-topic-flooding.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Camera-Gimbal-Takeover.md,modules/attacks_wiki/camera-gimbal-takeover.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Communication-Link-Flooding.md,modules/attacks_wiki/communication-link-flooding.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Companion-Computer-Discovery.md,modules/attacks_wiki/companion-computer-discovery.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Companion-Computer-Takeover.md,modules/attacks_wiki/companion-computer-takeover.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Companion-Computer-Web-UI-Login-Brute-Force.md,modules/attacks_wiki/companion-computer-web-ui-login-brute-force.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Critical-Error-Spoofing.md,modules/attacks_wiki/critical-error-spoofing.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Denial-of-Takeoff.md,modules/attacks_wiki/denial-of-takeoff.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Drone-Discovery.md,modules/attacks_wiki/drone-discovery.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Drone-GPS-&-Telemetry-Detection.md,modules/attacks_wiki/drone-gps-_-telemetry-detection.sh,5,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Emergency-Status-Spoofing.md,modules/attacks_wiki/emergency-status-spoofing.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/FTP-Eavesdropping.md,modules/attacks_wiki/ftp-eavesdropping.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Firmware-Decompile.md,modules/attacks_wiki/firmware-decompile.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Firmware-Modding.md,modules/attacks_wiki/firmware-modding.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Flight-Log-Extraction.md,modules/attacks_wiki/flight-log-extraction.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Flight-Mode-Injection.md,modules/attacks_wiki/flight-mode-injection.sh,9,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Flight-Termination.md,modules/attacks_wiki/flight-termination.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/GPS-Data-Injection.md,modules/attacks_wiki/gps-data-injection.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/GPS-Offset-Glitching.md,modules/attacks_wiki/gps-offset-glitching.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/GPS-Spoofing.md,modules/attacks_wiki/gps-spoofing.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Geofencing-Attack.md,modules/attacks_wiki/geofencing-attack.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Ground-Control-Station-Discovery.md,modules/attacks_wiki/ground-control-station-discovery.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Ground-Control-Station-Spoofing.md,modules/attacks_wiki/ground-control-station-spoofing.sh,2,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/Home.md,modules/attacks_wiki/home.sh,7,0
/home/kali/MTD_full_testbed/Damn-Vulnerable-Drone.wiki/MAVLink-Injection-Attack.md,modules/attacks_wiki/mavlink-injection-attack.sh,4,0
