time,rx_pkts,rx_bytes,drop_pkts,loss_pct,dup_pct,rate_limit_mbps
1,0,0,0,0,0,0
2,2042,1225200,0,0,0,0
3,6209,3725400,0,0,0,0
4,10375,6225000,0,0,0,0
5,14542,8725200,0,0,0,0
6,18709,11225400,0,0,0,0
7,22875,13725000,0,0,0,0
8,27042,16225200,0,0,0,0
9,31209,18725400,0,0,0,0
10,35375,21225000,0,0,0,0
11,39542,23725200,0,0,0,0
12,43682,26209200,27,1,0,0
13,47806,28683600,69,1,0,0
14,51923,31153800,119,1,0,0
15,56065,33639000,144,0,0,0
16,60231,36138600,144,0,0,0
17,64398,38638800,144,0,0,0
18,68565,41139000,144,0,0,0
19,72731,43638600,144,0,0,0
20,76898,46138800,144,0,0,0
21,81065,48639000,144,0,0,0
22,85231,51138600,144,0,0,0
23,89398,53638800,144,0,0,0
24,93565,56139000,144,0,0,0
25,97731,58638600,144,0,0,0
26,101898,61138800,144,0,0,0
27,106065,63639000,144,0,0,0
28,110231,66138600,144,0,0,0
29,114398,68638800,144,0,0,0
30,118565,71139000,144,0,0,0
31,122731,73638600,144,0,0,0
32,126898,76138800,144,0,0,0
33,131065,78639000,144,0,0,0
34,135231,81138600,144,0,0,0
35,139398,83638800,144,0,0,0
36,143565,86139000,144,0,0,0
37,147731,88638600,144,0,0,0
38,151898,91138800,144,0,0,0
39,156065,93639000,144,0,0,0
40,160231,96138600,144,0,0,0
41,164398,98638800,144,0,0,0
42,168565,101139000,144,0,0,0
43,172731,103638600,144,0,0,0
44,176898,106138800,144,0,0,0
45,179023,107413800,144,0,0,0
46,179023,107413800,144,0,0,0
47,179023,107413800,144,0,0,0
48,179023,107413800,144,0,0,0
49,179023,107413800,144,0,0,0
50,179023,107413800,144,0,0,0
51,179023,107413800,144,0,0,0
52,179023,107413800,144,0,0,0
53,179023,107413800,144,0,0,0
54,179023,107413800,144,0,0,0
55,179023,107413800,144,0,0,0
56,179023,107413800,144,0,0,0
57,179023,107413800,144,0,0,0
58,179023,107413800,144,0,0,0
59,179023,107413800,144,0,0,0
time,rx_pkts,rx_bytes,drop_pkts,loss_pct,dup_pct,rate_limit_mbps
1,0,0,0,0,0,0
2,2042,1225200,0,0,0,0
3,6209,3725400,0,0,0,0
4,10375,6225000,0,0,0,0
5,14542,8725200,0,0,0,0
6,18709,11225400,0,0,0,0
7,22875,13725000,0,0,0,0
8,27042,16225200,0,0,0,0
9,31209,18725400,0,0,0,0
10,35375,21225000,0,0,0,0
11,39542,23725200,0,0,0,0
12,43682,26209200,27,1,0,0
13,47806,28683600,69,1,0,0
14,51923,31153800,119,1,0,0
15,56065,33639000,144,0,0,0
16,60231,36138600,144,0,0,0
17,64398,38638800,144,0,0,0
18,68565,41139000,144,0,0,0
19,72731,43638600,144,0,0,0
20,76898,46138800,144,0,0,0
21,81065,48639000,144,0,0,0
22,85231,51138600,144,0,0,0
23,89398,53638800,144,0,0,0
24,93565,56139000,144,0,0,0
25,97731,58638600,144,0,0,0
26,101898,61138800,144,0,0,0
27,106065,63639000,144,0,0,0
28,110231,66138600,144,0,0,0
29,114398,68638800,144,0,0,0
30,118565,71139000,144,0,0,0
31,122731,73638600,144,0,0,0
32,126898,76138800,144,0,0,0
33,131065,78639000,144,0,0,0
34,135231,81138600,144,0,0,0
35,139398,83638800,144,0,0,0
36,143565,86139000,144,0,0,0
37,147731,88638600,144,0,0,0
38,151898,91138800,144,0,0,0
39,156065,93639000,144,0,0,0
40,160231,96138600,144,0,0,0
41,164398,98638800,144,0,0,0
42,168565,101139000,144,0,0,0
43,172731,103638600,144,0,0,0
44,176898,106138800,144,0,0,0
45,179023,107413800,144,0,0,0
46,179023,107413800,144,0,0,0
47,179023,107413800,144,0,0,0
48,179023,107413800,144,0,0,0
49,179023,107413800,144,0,0,0
50,179023,107413800,144,0,0,0
51,179023,107413800,144,0,0,0
52,179023,107413800,144,0,0,0
53,179023,107413800,144,0,0,0
54,179023,107413800,144,0,0,0
55,179023,107413800,144,0,0,0
56,179023,107413800,144,0,0,0
57,179023,107413800,144,0,0,0
58,179023,107413800,144,0,0,0
59,179023,107413800,144,0,0,0
time,rx_pkts,rx_bytes,drop_pkts,loss_pct,dup_pct,rate_limit_mbps
1,0,0,0,0,0,0
2,2042,1225200,0,0,0,0
3,6209,3725400,0,0,0,0
4,10375,6225000,0,0,0,0
5,14542,8725200,0,0,0,0
6,18709,11225400,0,0,0,0
7,22875,13725000,0,0,0,0
8,27042,16225200,0,0,0,0
9,31209,18725400,0,0,0,0
10,35375,21225000,0,0,0,0
11,39542,23725200,0,0,0,0
12,43682,26209200,27,1,0,0
13,47806,28683600,69,1,0,0
14,51923,31153800,119,1,0,0
15,56065,33639000,144,0,0,0
16,60231,36138600,144,0,0,0
17,64398,38638800,144,0,0,0
18,68565,41139000,144,0,0,0
19,72731,43638600,144,0,0,0
20,76898,46138800,144,0,0,0
21,81065,48639000,144,0,0,0
22,85231,51138600,144,0,0,0
23,89398,53638800,144,0,0,0
24,93565,56139000,144,0,0,0
25,97731,58638600,144,0,0,0
26,101898,61138800,144,0,0,0
27,106065,63639000,144,0,0,0
28,110231,66138600,144,0,0,0
29,114398,68638800,144,0,0,0
30,118565,71139000,144,0,0,0
31,122731,73638600,144,0,0,0
32,126898,76138800,144,0,0,0
33,131065,78639000,144,0,0,0
34,135231,81138600,144,0,0,0
35,139398,83638800,144,0,0,0
36,143565,86139000,144,0,0,0
37,147731,88638600,144,0,0,0
38,151898,91138800,144,0,0,0
39,156065,93639000,144,0,0,0
40,160231,96138600,144,0,0,0
41,164398,98638800,144,0,0,0
42,168565,101139000,144,0,0,0
43,172731,103638600,144,0,0,0
44,176898,106138800,144,0,0,0
45,179023,107413800,144,0,0,0
46,179023,107413800,144,0,0,0
47,179023,107413800,144,0,0,0
48,179023,107413800,144,0,0,0
49,179023,107413800,144,0,0,0
50,179023,107413800,144,0,0,0
51,179023,107413800,144,0,0,0
52,179023,107413800,144,0,0,0
53,179023,107413800,144,0,0,0
54,179023,107413800,144,0,0,0
55,179023,107413800,144,0,0,0
56,179023,107413800,144,0,0,0
57,179023,107413800,144,0,0,0
58,179023,107413800,144,0,0,0
59,179023,107413800,144,0,0,0
time,rx_pkts,rx_bytes,drop_pkts,loss_pct,dup_pct,rate_limit_mbps
1,0,0,0,0,0,0
2,2042,1225200,0,0,0,0
3,6209,3725400,0,0,0,0
4,10375,6225000,0,0,0,0
5,14542,8725200,0,0,0,0
6,18709,11225400,0,0,0,0
7,22875,13725000,0,0,0,0
8,27042,16225200,0,0,0,0
9,31209,18725400,0,0,0,0
10,35375,21225000,0,0,0,0
11,39542,23725200,0,0,0,0
12,43682,26209200,27,1,0,0
13,47806,28683600,69,1,0,0
14,51923,31153800,119,1,0,0
15,56065,33639000,144,0,0,0
16,60231,36138600,144,0,0,0
17,64398,38638800,144,0,0,0
18,68565,41139000,144,0,0,0
19,72731,43638600,144,0,0,0
20,76898,46138800,144,0,0,0
21,81065,48639000,144,0,0,0
