Netid  State    Recv-Q   Send-Q     Local Address:Port      Peer Address:Port   Process                                                                         
udp    UNCONN   0        0             127.0.0.11:38101          0.0.0.0:*                                                                                      
udp    UNCONN   0        0                0.0.0.0:14540          0.0.0.0:*       users:(("python3",pid=94,fd=14))                                               
udp    UNCONN   0        0                0.0.0.0:14540          0.0.0.0:*       users:(("python3",pid=8,fd=14))                                                
udp    UNCONN   0        0                0.0.0.0:67             0.0.0.0:*       users:(("dhcpd",pid=153,fd=8))                                                 
tcp    LISTEN   0        128              0.0.0.0:35879          0.0.0.0:*       users:(("python3",pid=94,fd=4))                                                
tcp    LISTEN   0        128              0.0.0.0:3000           0.0.0.0:*       users:(("python3",pid=94,fd=18),("python3",pid=94,fd=17),("python3",pid=8,fd=17))
tcp    LISTEN   0        128              0.0.0.0:35041          0.0.0.0:*       users:(("python3",pid=8,fd=4))                                                 
tcp    LISTEN   0        5                0.0.0.0:554            0.0.0.0:*       users:(("python3",pid=43,fd=14))                                               
tcp    LISTEN   0        128              0.0.0.0:22             0.0.0.0:*       users:(("sshd",pid=14,fd=3))                                                   
tcp    LISTEN   0        128              0.0.0.0:39301          0.0.0.0:*       users:(("python3",pid=43,fd=4))                                                
tcp    LISTEN   0        4096          127.0.0.11:35605          0.0.0.0:*                                                                                      
tcp    LISTEN   0        5                0.0.0.0:46691          0.0.0.0:*       users:(("python3",pid=94,fd=8))                                                
tcp    LISTEN   0        5                0.0.0.0:45991          0.0.0.0:*       users:(("python3",pid=8,fd=8))                                                 
tcp    LISTEN   0        5                0.0.0.0:45435          0.0.0.0:*       users:(("python3",pid=43,fd=8))                                                
tcp    ESTAB    0        0              10.13.0.3:46691        10.13.0.5:35112   users:(("python3",pid=94,fd=9))                                                
tcp    ESTAB    0        0              10.13.0.3:40066        10.13.0.5:36815   users:(("python3",pid=43,fd=11))                                               
tcp    ESTAB    0        0              10.13.0.3:40082        10.13.0.5:36815   users:(("python3",pid=94,fd=11))                                               
tcp    ESTAB    0        0              10.13.0.3:47398        10.13.0.5:11311   users:(("python3",pid=94,fd=6))                                                
tcp    ESTAB    0        0              10.13.0.3:47376        10.13.0.5:11311   users:(("python3",pid=8,fd=6))                                                 
tcp    ESTAB    0        0              10.13.0.3:47384        10.13.0.5:11311   users:(("python3",pid=43,fd=6))                                                
tcp    ESTAB    0        0              10.13.0.3:45435        10.13.0.5:47474   users:(("python3",pid=43,fd=9))                                                
tcp    ESTAB    0        0              10.13.0.3:45991        10.13.0.5:38916   users:(("python3",pid=8,fd=9))                                                 
tcp    ESTAB    0        0              10.13.0.3:40054        10.13.0.5:36815   users:(("python3",pid=43,fd=17))                                               
tcp    ESTAB    12       0              10.13.0.3:40048        10.13.0.5:36815   users:(("python3",pid=8,fd=10))                                                
tcp    LISTEN   0        128                 [::]:22                [::]:*       users:(("sshd",pid=14,fd=4))                                                   
