scn,atk,lv,mtd,t0,t1,pps,bytes,loss_pct,delay_ms,jitter_ms,dup_pct
eval-1756952086,unknown,unknown,off,0.0,5.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,5.0,10.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,10.0,15.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,15.0,20.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,20.0,25.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,25.0,30.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,30.0,35.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,35.0,40.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,0.0,5.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,5.0,10.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,10.0,15.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,15.0,20.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,20.0,25.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,25.0,30.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,30.0,35.0,0.0,0,0,0,0,0
eval-1756952086,unknown,unknown,off,35.0,40.0,0.0,0,0,0,0,0
eval-1756952086,fanet_eval-1756952086,netanim,fanet,0.0,5.0,0.0,0,0,0,0,0
eval-1756952086,fanet_eval-1756952086,netanim,fanet,5.0,10.0,0.0,0,0,0,0,0
eval-1756952086,fanet_eval-1756952086,netanim,fanet,10.0,15.0,0.0,0,0,0,0,0
eval-1756952086,fanet_eval-1756952086,netanim,fanet,15.0,20.0,0.0,0,0,0,0,0
eval-1756952086,fanet_eval-1756952086,netanim,fanet,20.0,25.0,0.0,0,0,0,0,0
eval-1756952086,fanet_eval-1756952086,netanim,fanet,25.0,30.0,0.0,0,0,0,0,0
eval-1756952086,fanet_eval-1756952086,netanim,fanet,30.0,35.0,0.0,0,0,0,0,0
eval-1756952086,fanet_eval-1756952086,netanim,fanet,35.0,40.0,0.0,0,0,0,0,0
onoff-off-1757283247,gps_slow_spoof,medium,off,0.0,5.0,65.6,21839,0.0,0.0,0.0,0.0
onoff-off-1757283247,gps_slow_spoof,medium,off,0.0,5.0,65.6,21839,0.0,0.0,0.0,0.0
onoff-on-1757283254,gps_slow_spoof,medium,off,0.0,5.0,67.2,20916,0.0,0.0,0.0,0.0
onoff-on-1757283254,gps_slow_spoof,medium,off,5.0,10.0,62.6,20951,0.0,0.0,0.0,0.0
onoff-on-1757283254,gps_slow_spoof,medium,off,10.0,15.0,51.4,17059,0.0,0.0,0.0,0.0
onoff-on-1757283254,gps_slow_spoof,medium,off,15.0,20.0,71.8,25395,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,0.0,5.0,56.6,19190,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,5.0,10.0,45.0,15158,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,10.0,15.0,37.0,12341,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,15.0,20.0,45.2,15225,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,20.0,25.0,37.0,12328,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,25.0,30.0,56.2,18330,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,30.0,35.0,41.6,13851,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,35.0,40.0,50.4,16909,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,40.0,40.0,41.6,13851,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,45.0,40.0,50.4,16909,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,50.0,40.0,41.6,13851,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,55.0,40.0,50.4,16909,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,60.0,40.0,41.6,13851,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,65.0,40.0,50.4,16909,0.0,0.0,0.0,0.0
multi-parallel-1757266529,mavlink_param_poll,low,off,70.0,40.0,18.6,6222,0.0,0.0,0.0,0.0
eval-1757258612,mavlink_statustext_noise,high,off,0.0,5.0,49.4,17107,0,0,0,0
eval-1757258612,mavlink_statustext_noise,high,off,5.0,10.0,4.8,2110,0,0,0,0
eval-1757261082,mavlink_statustext_noise,high,off,0.0,5.0,60.2,20062,0.0,0.0,0.0,0.0
eval-1757261082,mavlink_statustext_noise,high,off,5.0,10.0,12.4,4859,0.0,0.0,0.0,0.0
eval-1757261092-mtd,mavlink_statustext_noise,high,on,0.0,5.0,52.2,15363,0.0,0.0,0.0,0.0
eval-1757261092-mtd,mavlink_statustext_noise,high,on,5.0,10.0,48.4,18328,0.0,0.0,0.0,0.0
eval-1757261092-mtd,mavlink_statustext_noise,high,on,10.0,15.0,7.4,3081,0.0,0.0,0.0,0.0
