Timestamp,SrcIP,DstIP,Protocol,DstPort,PacketSize
18.5112,10.13.0.1,10.13.0.5,TCP,8000,74
18.5115,10.13.0.5,10.13.0.1,TCP,54320,74
18.5117,10.13.0.1,10.13.0.5,TCP,8000,66
18.5120,10.13.0.1,10.13.0.5,TCP,8000,400
18.5123,10.13.0.5,10.13.0.1,TCP,54320,66
18.5295,10.13.0.5,10.13.0.1,TCP,54320,274
18.5297,10.13.0.1,10.13.0.5,TCP,8000,66
18.5301,10.13.0.5,10.13.0.1,TCP,54320,7306
18.5303,10.13.0.1,10.13.0.5,TCP,8000,66
18.5306,10.13.0.5,10.13.0.1,TCP,54320,7306
18.5309,10.13.0.1,10.13.0.5,TCP,8000,66
18.5315,10.13.0.5,10.13.0.1,TCP,54320,10202
18.5319,10.13.0.1,10.13.0.5,TCP,8000,66
18.5324,10.13.0.5,10.13.0.1,TCP,54320,12256
18.5328,10.13.0.1,10.13.0.5,TCP,8000,66
18.5331,10.13.0.1,10.13.0.5,TCP,8000,66
18.5333,10.13.0.5,10.13.0.1,TCP,54320,66
18.5335,10.13.0.1,10.13.0.5,TCP,8000,66
18.5514,10.13.0.1,10.13.0.5,TCP,8000,74
18.5517,10.13.0.5,10.13.0.1,TCP,54334,74
18.5520,10.13.0.1,10.13.0.5,TCP,8000,66
18.5525,10.13.0.1,10.13.0.5,TCP,8000,487
18.5527,10.13.0.5,10.13.0.1,TCP,54334,66
18.5530,10.13.0.1,10.13.0.5,TCP,8000,74
18.5533,10.13.0.5,10.13.0.1,TCP,54350,74
18.5535,10.13.0.1,10.13.0.5,TCP,8000,66
18.5538,10.13.0.1,10.13.0.5,TCP,8000,481
18.5540,10.13.0.5,10.13.0.1,TCP,54350,66
18.5542,10.13.0.5,10.13.0.1,TCP,54334,385
18.5544,10.13.0.1,10.13.0.5,TCP,8000,66
18.5553,10.13.0.1,10.13.0.5,TCP,8000,66
18.5590,10.13.0.1,10.13.0.5,TCP,8000,74
18.5593,10.13.0.5,10.13.0.1,TCP,54352,74
18.5595,10.13.0.1,10.13.0.5,TCP,8000,66
18.5597,10.13.0.1,10.13.0.5,TCP,8000,74
18.5599,10.13.0.5,10.13.0.1,TCP,54354,74
18.5601,10.13.0.1,10.13.0.5,TCP,8000,66
18.5605,10.13.0.1,10.13.0.5,TCP,8000,488
18.5609,10.13.0.5,10.13.0.1,TCP,54354,66
18.5723,10.13.0.1,10.13.0.5,TCP,8000,466
18.5764,10.13.0.5,10.13.0.1,TCP,54352,66
18.5767,10.13.0.1,10.13.0.5,TCP,8000,74
18.5769,10.13.0.5,10.13.0.1,TCP,54360,74
18.5772,10.13.0.1,10.13.0.5,TCP,8000,66
18.5774,10.13.0.1,10.13.0.5,TCP,8000,459
18.5776,10.13.0.5,10.13.0.1,TCP,54360,66
18.5778,10.13.0.5,10.13.0.1,TCP,54350,379
18.5780,10.13.0.1,10.13.0.5,TCP,8000,66
18.5864,10.13.0.1,10.13.0.5,TCP,8000,66
18.5866,10.13.0.5,10.13.0.1,TCP,54350,66
18.5885,10.13.0.1,10.13.0.5,TCP,8000,66
18.5888,10.13.0.5,10.13.0.1,TCP,54334,66
18.5890,10.13.0.1,10.13.0.5,TCP,8000,66
18.5892,10.13.0.1,10.13.0.5,TCP,8000,74
18.5913,10.13.0.5,10.13.0.1,TCP,54366,74
